payee,category,work_details,lpo_number,plo_sum,invoice_number,date_recorded,start_date,end_date,completion_status,cumulative_amount_invoiced,amount_paid,outstanding_amount,verified,comments,support_documents,,
 Angaf radio station,Recurrent,coverage of various occasion in radio,1201227," 1,200,000.00 ",101,11/10/2015,,,Complete,"1,200,000.00",," 1,200,000.00 ",,original document,√  ,,
A.O Okola,Recurrent,Repair and servicing of motovehicle,,,,,,,Complete,"55,160.00",," 55,160.00 ",,,X,,
A.O Okola,Recurrent,Repair of motorvehicle,,,,,,,Complete,"83,000.00",," 83,000.00 ",,,X,,
A.O Okolla,Recurrent,Repair of motorvehicle,1201406," 196,000.00 ",136,Not Dated,18/09/2017,,Complete,"196,000.00", -   ," 196,000.00 ",,original,√  ,,
A.O.Okolla,Recurrent,Repair & servicing of GK B868G,1335810," 55,200.00 ",112,11/21/2016,,,Complete,"55,200.00", -   ," 55,200.00 ",,,√  ,,
Abaaru Investment Company,Recurrent,Printing services,2273340," 340,500.00 ",11,3/21/2017,,21/03/2017,Complete,"340,500.00", -   ," 340,000.00 ",,photo copy,X,,
Abaaru Investment Company,Recurrent,Supply of stationary,2477468," 1,600,000.00 ",017,5/31/2016,,,,"1,600,000.00", -   ," 1,600,000.00 ",,original,√  ,,
Abdikadir Sheikh,Recurrent,Office Rent May to Oct 2017,Rent Agreement," 432,000.00 ",Not attached,n/a,,,Complete,"432,000.00"," 432,000.00 ", -   ,,Paid,X,,
Abdulrahman Perera,Recurrent,Rent Town Admin Office - Isiolo,ICG/RENT/2016/2017," 7,372,520.65 ",25/26/50/58,4/24/2005,,,Complete,"7,372,520.65", -   ," 7,372,520.65 ",,original document,√  ,,
Abluun Enterprises,Recurrent,Motor Vehicle repair KBY 678C,1201404," 869,000.00 ",85,8/29/2016,42768,29/8/2016,Complete,"869,000.00", -   ," 459,000.00 ",,original,√  ,,
Absher Ltd,Development,Blood Sattellite at Referal Hospital,1201294," 4,937,244.00 ",not numbered,not dated,,,Complete,"4,937,244.00", -   ," 4,937,244.00 ",,,√  ,,
Absher Ltd,Development,Construction of Community office at Bisan biliqo,ICG/032/2015/2016/283," 4,035,002.00 ",251,9/9/2016,,,Complete,"4,035,002.00",," 4,035,002.00 ",,Original,√  ,,
Adhi pharmacy,Recurrent,Supply of drugs,2477478," 198,000.00 ",532,11/27/2014,,27/11/2014,Complete,"198,000.00", -   ," 788,460.00 ",,photo copy,√  ,,
Akarim Construction Ltd,Development,Grading Garbatula / Scot access road,ICG/052/2015/16/A," 6,971,600.00 ",202,6/16/2016,42525,15/04/2016,Complete,"6,971,600.00",," 6,971,600.00 ",,the whole contract amount was not paid,√  ,,
Al- Badir investment,Recurrent,Car hire services office ,,,109,2/8/2014,,,Complete,,," 360,000.00 ",,original document,√  ,,
Al- Badir investment,Recurrent,car hire,,,036,2/6/2014,,,Complete,"360,000.00",," 360,000.00 ",,original document,√  ,,
Al Imran Investment Limited,Development,Lot 1 pending bill ( construction and completion of isiolo abattoir),ICG/051/2015/2016/05," 68,705,255.34 ",155,17-6-2017,,,Complete,"38,707,950.00"," 38,707,950.00 ", -   ,,"23,126,780 previously paid",x,,
Al Majid Stores,Development,supply of Relief food-Jamia mosque Merti,2206069," 4,863,500.00 ",141,6/27/2016,,,Complete,"4,863,500.00", -   ," 4,863,500.00 ",,court case,√  ,,
Al Majid Stores,Development,"Supply of Relief food-Gotu,Biliqo Marara, Kom and Nyachis",2196782," 7,075,000.00 ",180,10/30/2015,,,Complete,"7,075,000.00", -   ," 7,075,000.00 ",,court case,√  ,,
Al Majid Stores,Development,"supply of Relief food- Belgesh,Kombola,Ires Kalicha and Garfarsa",2196781," 6,125,000.00 ",181,10/10/2015,,,Complete,"6,125,000.00", -   ," 6,125,000.00 ",,court case,√  ,,
Al Majid Stores,Development,supply of releif food-Chari Ward,2206422," 11,200,000.00 ",146,9/30/2015,,,Complete,"11,200,000.00", -   ," 11,200,000.00 ",,court case,√  ,,
Al Majid Stores,Development,supply of Relief food-Cherab Ward,2171290," 14,205,000.00 ",273,3/16/2015,,,Complete,"14,205,000.00", -   ," 14,205,000.00 ",,court case,√  ,,
Al Majid Stores,Recurrent,Supply of Food Ratio for school feeding programme,2273367," 5,000,000.00 ",106,10/22/2015,,,complete,"5,000,000.00",," 5,000,000.00 ",,Court Ruling,√  ,,
Al Rahma Investment Limited,Recurrent,Air Ticket,1335842," 47,000.00 ",001,Undated,,,Complete,"47,000.00", -   ," 47,000.00 ",,original support documents attached,√  ,,
Al Rahma Investment Limited,Recurrent,Supply of Theatre drugs,2273016," 648,000.00 ",58,10/3/2016,,42646,Complete,"648,000.00", -   ," 648,000.00 ",,photo copy,√  ,,
AL Rahma Investments,Recurrent,Airticket ,1201233," 122,000.00 ",004,2/7/2017,,,Complete,"122,000.00", -   ," 122,000.00 ",,original support documents attached,√  ,,
Al Rahma Tours,Recurrent,Two Air Ticket Nrb - Mbsa ,1201127," 114,000.00 ",3,2/21/2016,42421,,Complete,"114,000.00",," 114,000.00 ",,Original,√  ,,
